school_id,year,short_name,school_type,primary_category,address,city,state,zip,phone,website,progress_report_year,student_growth_rating,student_attainment_rating,growth_reading_grades_tested_pct_es,growth_math_grades_tested_pct_es,attainment_reading_pct_es,attainment_math_pct_es,culture_climate_rating,school_survey_involved_families,school_survey_supportive_environment,school_survey_ambitious_instruction,school_survey_effective_leaders,school_survey_collaborative_teachers,school_survey_safety,suspensions_per_100_students_avg_pct,student_attendance_avg_pct,mobility_rate_pct,one_year_dropout_rate_year_1_pct,freshmen_on_track_school_pct_year_1,college_enrollment_school_pct_year_1,college_persistence_school_pct_year_2,teacher_attendance_avg_pct,school_latitude,school_longitude
400133,2017-18,YCCS - INNOVATIONS,Charter,HS, , , , ,3129999360,http://www.innovationshs.org,2017,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,5.8,92.8,69.4,38.2,NULL,24.4,40,NULL, , 
400133,2018-19,YCCS - INNOVATIONS,Charter,HS,17 N STATE ST,Chicago,Illinois,60602,3129999360,https://www.innovationshs.org,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NULL,93.3,90.7,41.8,NULL,14.3,40,NULL,41.883047,-87.627734
400134,2015-16,YCCS - ADDAMS,Charter,HS,1814 S UNION AVE,Chicago,Illinois,60616,3125631748, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,WELL ORGANIZED,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,20.8,88.8,NULL,7.9,NULL,21.1,46.7,NULL,41.857208,-87.644888
400134,2016-17,YCCS - ADDAMS,Charter,HS,1814 S UNION AVE,Chicago,Illinois,60616,3125631748,http://www.jahs.org,2016,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,WELL ORGANIZED,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,8.1,93.4,NULL,35.3,NULL,26.3,42.3,NULL,41.857208,-87.644888
400134,2017-18,YCCS - ADDAMS,Charter,HS, , , , ,3125631748,http://www.jahs.org,2017,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,5.8,92.8,62.5,34.7,NULL,16.7,64.3,NULL, , 
400134,2018-19,YCCS - ADDAMS,Charter,HS,1814 S UNION AVE,Chicago,Illinois,60616,3125631748,http://www.jahs.org,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,NULL,93.3,98.7,41.2,NULL,19.6,64.3,NULL,41.857208,-87.644888
400135,2015-16,YCCS - LATINO YOUTH,Charter,HS,2001 S CALIFORNIA AVE,Chicago,Illinois,60608,7736482130, ,2015,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,20.8,88.8,NULL,7.9,NULL,14.6,33.3,NULL,41.854665,-87.69543
400135,2016-17,YCCS - LATINO YOUTH,Charter,HS,2001 S CALIFORNIA AVE,Chicago,Illinois,60608,7736482130,http://www.pilsenwellness.org,2016,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,MODERATELY ORGANIZED,VERY WEAK,STRONG,STRONG,WEAK,NEUTRAL,WEAK,8.1,93.4,NULL,39.4,NULL,9.8,NULL,NULL,41.854665,-87.69543
400135,2017-18,YCCS - LATINO YOUTH,Charter,HS, , , , ,7736482130,http://lyhs.org,2017,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,VERY WEAK,STRONG,VERY STRONG,NEUTRAL,STRONG,WEAK,5.8,92.8,63.5,36,NULL,6.9,NULL,NULL, , 
400135,2018-19,YCCS - LATINO YOUTH,Charter,HS,2001 S CALIFORNIA AVE,Chicago,Illinois,60608,7736482130,http://www.lyhs.org,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,NOT ENOUGH DATA,NULL,93.3,91.9,35.4,NULL,14.3,NULL,NULL,41.854665,-87.69543
400136,2015-16,YCCS - OLIVE HARVEY,Charter,HS,10001 S WOODLAWN AVE,Chicago,Illinois,60628,7732916517, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,ORGANIZED,NOT ENOUGH DATA,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,20.8,88.8,NULL,7.9,NULL,43.5,20,NULL,41.712922,-87.592333
400136,2016-17,YCCS - OLIVE HARVEY,Charter,HS,10001 S WOODLAWN AVE,Chicago,Illinois,60628,7732916517,http://www.yccs.us/campuses,2016,NO DATA AVAILABLE,BELOW AVERAGE,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,WEAK,NEUTRAL,STRONG,VERY WEAK,WEAK,WEAK,8.1,93.4,NULL,59.4,NULL,53.1,41.2,NULL,41.712922,-87.592333
400136,2017-18,YCCS - OLIVE HARVEY,Charter,HS, , , , ,7732916517,http://www.yccs.us/campuses,2017,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,STRONG,NEUTRAL,5.8,92.8,64.8,21.4,NULL,39.3,36.4,NULL, , 
400136,2018-19,YCCS - OLIVE HARVEY,Charter,HS,10001 S WOODLAWN AVE,Chicago,Illinois,60628,7732916517,https://yccs.us/campuses,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NOT ENOUGH DATA,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,NULL,93.3,75.9,40.4,NULL,30,36.4,NULL,41.712922,-87.592333
400137,2015-16,LITTLE BLACK PEARL HS,Charter,HS,1060 E 47TH ST,Chicago,Illinois,60653,7736905500, ,2015,NO DATA AVAILABLE,BELOW AVERAGE,NULL,NULL,NULL,NULL,ORGANIZED,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,WEAK,20.8,88.8,NULL,7.9,NULL,26,53.8,NULL,41.809695,-87.59934
400137,2016-17,LITTLE BLACK PEARL HS,Charter,HS,1060 E 47TH ST,Chicago,Illinois,60653,7736905500,http://blackpearl.org,2016,BELOW AVERAGE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,ORGANIZED,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,8.1,93.4,NULL,11.2,NULL,28.6,NULL,NULL,41.809695,-87.59934
400137,2017-18,LITTLE BLACK PEARL HS,Charter,HS, , , , ,7736905500,http://blackpearl.org,2017,BELOW AVERAGE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,STRONG,NEUTRAL,NEUTRAL,VERY STRONG,STRONG,WEAK,5.8,92.8,NULL,7.2,NULL,66.7,35.7,NULL, , 
400137,2018-19,LITTLE BLACK PEARL HS,Charter,HS,1060 E 47TH ST,Chicago,Illinois,60653,7736905500,https://www.blackpearl.org,2018,BELOW AVERAGE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NOT ENOUGH DATA,STRONG,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,28.7,93.3,27.8,8.5,NULL,32.6,35.7,NULL,41.809695,-87.59934
400139,2015-16,YCCS - SULLIVAN,Charter,HS,8164 S SOUTH CHICAGO AVE,Chicago,Illinois,60617,7739788680, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,STRONG,WEAK,20.8,88.8,NULL,7.9,NULL,12.3,NULL,NULL,41.746287,-87.578492
400139,2016-17,YCCS - SULLIVAN,Charter,HS,8164 S SOUTH CHICAGO AVE,Chicago,Illinois,60617,7739788680,http://sullivanhousehschicago.com,2016,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,WELL ORGANIZED,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,WEAK,8.1,93.4,NULL,15.9,NULL,15.5,15.4,NULL,41.746287,-87.578492
400139,2017-18,YCCS - SULLIVAN,Charter,HS, , , , ,7739788680,http://sullivanhousehschicago.com,2017,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,WELL ORGANIZED,NEUTRAL,NEUTRAL,STRONG,STRONG,VERY STRONG,WEAK,5.8,92.8,35.1,6.5,NULL,7.4,NULL,NULL, , 
400139,2018-19,YCCS - SULLIVAN,Charter,HS,8164 S SOUTH CHICAGO AVE,Chicago,Illinois,60617,7739788680,https://sullivanhousehschicago.com,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,NEUTRAL,STRONG,VERY STRONG,STRONG,NEUTRAL,WEAK,NULL,93.3,64.9,13.3,NULL,13.8,NULL,NULL,41.746287,-87.578492
400141,2015-16,YCCS - TRUMAN,Charter,HS,1145 W WILSON AVE,Chicago,Illinois,60640,7739074840, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,WEAK,NEUTRAL,STRONG,VERY WEAK,NEUTRAL,WEAK,20.8,88.8,NULL,7.9,NULL,39,28.1,NULL,41.965295,-87.659239
400141,2016-17,YCCS - TRUMAN,Charter,HS,1145 W WILSON AVE,Chicago,Illinois,60640,7739074840,http://yccs.us/campuses,2016,NO DATA AVAILABLE,BELOW AVERAGE,NULL,NULL,NULL,NULL,ORGANIZED,WEAK,STRONG,STRONG,NEUTRAL,NEUTRAL,WEAK,8.1,93.4,NULL,47,NULL,36.9,29.2,NULL,41.965295,-87.659239
400141,2017-18,YCCS - TRUMAN,Charter,HS, , , , ,7739074840,http://yccs.us/campuses,2017,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,WELL ORGANIZED,NEUTRAL,STRONG,STRONG,STRONG,STRONG,WEAK,5.8,92.8,68.2,38.1,NULL,26.4,36.8,NULL, , 
400141,2018-19,YCCS - TRUMAN,Charter,HS,1145 W WILSON AVE,Chicago,Illinois,60640,7739074840,https://yccs.us/campuses,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,WEAK,STRONG,STRONG,NEUTRAL,NEUTRAL,WEAK,NULL,93.3,90.1,31.6,NULL,34.7,36.8,NULL,41.965295,-87.659239
400142,2015-16,YCCS - VIRTUAL,Charter,HS,1900 W VAN BUREN ST,Chicago,Illinois,60612,3124290027, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,MODERATELY ORGANIZED,NOT ENOUGH DATA,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,20.8,88.8,NULL,7.9,NULL,25.6,38.1,NULL,41.876317,-87.674138
400142,2016-17,YCCS - VIRTUAL,Charter,HS,1900 W VAN BUREN ST,Chicago,Illinois,60612,3124290027,NULL,2016,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,8.1,93.4,NULL,50,NULL,26.8,18.2,NULL,41.876317,-87.674138
400142,2017-18,YCCS - VIRTUAL,Charter,HS, , , , ,3124290027,https://cps.edu/yccsvirtualhs,2017,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,5.8,92.8,NULL,NULL,NULL,18.2,41.7,NULL, , 
400142,2018-19,YCCS - VIRTUAL,Charter,HS,1900 W VAN BUREN ST,Chicago,Illinois,60612,3124290027,https://cps.edu/yccsvirtualhs,2018,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NULL,93.3,NULL,NULL,NULL,NULL,41.7,NULL,41.876317,-87.674138
400143,2015-16,YCCS - WEST TOWN,Charter,HS,500 N SACRAMENTO BLVD,Chicago,Illinois,60612,3125639044, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,MODERATELY ORGANIZED,VERY WEAK,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,20.8,88.8,NULL,7.9,NULL,18.4,25,NULL,41.890803,-87.702053
400143,2016-17,YCCS - WEST TOWN,Charter,HS,500 N SACRAMENTO BLVD,Chicago,Illinois,60612,3125639044,http://westtownacademy.org,2016,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT YET ORGANIZED,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,WEAK,NOT ENOUGH DATA,8.1,93.4,NULL,51.9,NULL,20,25,NULL,41.890803,-87.702053
400143,2017-18,YCCS - WEST TOWN,Charter,HS, , , , ,3125639044,http://westtownacademy.org,2017,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT YET ORGANIZED,VERY WEAK,WEAK,NEUTRAL,WEAK,WEAK,WEAK,5.8,92.8,71.9,43.1,NULL,8.3,NULL,NULL, , 
400143,2018-19,YCCS - WEST TOWN,Charter,HS,500 N SACRAMENTO BLVD,Chicago,Illinois,60612,3125639044,http://westtownacademy.org,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NULL,93.3,93.6,30.5,NULL,12.3,NULL,NULL,41.890803,-87.702053
400144,2015-16,YCCS - WESTSIDE HOLISTIC,Charter,HS,4909 W DIVISION ST,Chicago,Illinois,60651,7732610994, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,20.8,88.8,NULL,7.9,NULL,14.3,NULL,NULL,41.90224,-87.74881
400144,2016-17,YCCS - WESTSIDE HOLISTIC,Charter,HS,4909 W DIVISION ST,Chicago,Illinois,60651,7732610994,http://www.yccs.us,2016,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,8.1,93.4,NULL,43.9,NULL,14.6,NULL,NULL,41.90224,-87.74881
400144,2017-18,YCCS - WESTSIDE HOLISTIC,Charter,HS, , , , ,7732610994,http://www.yccs.us,2017,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,5.8,92.8,72.2,23.9,NULL,20.8,NULL,NULL, , 
400144,2018-19,YCCS - WEST,Charter,HS,4909 W DIVISION ST,Chicago,Illinois,60651,7732610994,https://yccs.us/campuses,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,NULL,93.3,94.1,30.5,NULL,14,NULL,NULL,41.90224,-87.74881
400145,2015-16,YCCS - YOUTH CONNECTION,Charter,HS,3424 S STATE ST,Chicago,Illinois,60616,3122254668, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,20.8,88.8,NULL,7.9,NULL,30.2,50,NULL,41.832072,-87.626781
400145,2016-17,YCCS - YOUTH CONNECTION,Charter,HS,3424 S STATE ST,Chicago,Illinois,60616,3122254668,http://yccs.us/campuses,2016,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,MODERATELY ORGANIZED,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,NEUTRAL,NOT ENOUGH DATA,8.1,93.4,NULL,47.9,NULL,27.4,11.8,NULL,41.832072,-87.626781
400145,2017-18,YCCS - YOUTH CONNECTION,Charter,HS, , , , ,3122254668,http://yccs.us/campuses,2017,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT YET ORGANIZED,VERY WEAK,WEAK,WEAK,NEUTRAL,NEUTRAL,WEAK,5.8,92.8,70.6,25.4,NULL,17.6,20,NULL, , 
400145,2018-19,YCCS - YOUTH CONNECTION,Charter,HS,3424 S STATE ST,Chicago,Illinois,60616,3122254668,https://yccs.us/campuses,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,NOT ENOUGH DATA,WEAK,WEAK,NEUTRAL,NEUTRAL,WEAK,NULL,93.3,89.3,27.7,NULL,21.3,20,NULL,41.832072,-87.626781
400146,2015-16,KIPP CHICAGO - CREATE,Charter,ES,4818 W OHIO ST,Chicago,Illinois,60644,7739388553, ,2015,AVERAGE,AVERAGE,29,44,31,49,ORGANIZED,NEUTRAL,WEAK,NEUTRAL,STRONG,VERY STRONG,WEAK,3.8,95.1,10.9,7.9,NULL,NULL,NULL,NULL,41.891816,-87.746614
400146,2016-17,KIPP - ACADEMY,Charter,ES,4818 W OHIO ST,Chicago,Illinois,60644,7739388553,http://www.kippchicago.org,2016,AVERAGE,AVERAGE,64,48,42,39,NOT YET ORGANIZED,WEAK,WEAK,WEAK,WEAK,WEAK,VERY WEAK,8.1,93.4,10.9,NULL,NULL,NULL,NULL,NULL,41.891816,-87.746614
400146,2017-18,KIPP - ACADEMY,Charter,ES, , , , ,7739388553,http://www.kippchicago.org,2017,ABOVE AVERAGE,AVERAGE,87,84,50,46,WELL ORGANIZED,STRONG,WEAK,VERY STRONG,VERY STRONG,VERY STRONG,VERY WEAK,5.8,92.8,12.5,NULL,NULL,NULL,NULL,NULL, , 
400146,2018-19,KIPP - ACADEMY,Charter,ES,4818 W OHIO ST,Chicago,Illinois,60644,7739388553,https://www.kippchicago.org,2018,FAR ABOVE AVERAGE,AVERAGE,71,91,51,54,WELL ORGANIZED,STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,NULL,93.3,8.4,NULL,NULL,NULL,NULL,NULL,41.891816,-87.746614
400147,2015-16,CAMELOT - CHICAGO EXCEL HS,Citywide-Option,HS,1257 W 111TH ST,Chicago,Illinois,60643,7736298379, ,2015,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,ORGANIZED,WEAK,STRONG,STRONG,NEUTRAL,STRONG,NEUTRAL,20.8,88.8,69.5,7.9,NULL,17,NULL,NULL,41.691953,-87.654248
400147,2016-17,CAMELOT - EXCEL HS,Citywide-Option,HS,1257 W 111TH ST,Chicago,Illinois,60643,7736298379,http://cameloteducation.org/excel-academy-of-roseland/,2016,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,ORGANIZED,VERY WEAK,STRONG,VERY STRONG,WEAK,STRONG,NEUTRAL,8.1,93.4,69.5,52.8,NULL,16.7,17.6,NULL,41.691953,-87.654248
400147,2017-18,CAMELOT - EXCEL HS,Citywide-Option,HS, , , , ,7736298379,http://cameloteducation.org/our-schools/accelerated-schools/excel-academy-of-roseland,2017,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,WEAK,NEUTRAL,STRONG,NEUTRAL,STRONG,NEUTRAL,5.8,92.8,66.9,37.7,NULL,7.5,NULL,NULL, , 
400147,2018-19,CAMELOT - EXCEL HS,Citywide-Option,HS,1257 W 111TH ST,Chicago,Illinois,60643,7736298379,https://cameloteducation.org/excelroseland,2018,AVERAGE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NEUTRAL,STRONG,VERY STRONG,WEAK,STRONG,NEUTRAL,NULL,93.3,73.9,39.9,NULL,12.5,NULL,NULL,41.691953,-87.654248
400148,2015-16,INSTITUTO - LOZANO HS,Charter,HS,2570 S BLUE ISLAND AVE,Chicago,Illinois,60608,7738908060, ,2015,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,VERY WEAK,STRONG,STRONG,WEAK,WEAK,NEUTRAL,20.8,88.8,65.4,7.9,NULL,31.8,14.3,NULL,41.845446,-87.684065
400149,2015-16,UNO - SOCCER HS,Charter,HS,5025 S ST. LOUIS AVE,Chicago,Illinois,60632,3124555446, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,7,4,19,8,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,20.8,88.8,NULL,7.9,NULL,NULL,NULL,NULL,41.801762,-87.711025
400149,2016-17,ACERO - SOTO HS,Charter,HS,5025 S ST. LOUIS AVE,Chicago,Illinois,60632,3124555446,http://www.ucsnschools.org,2016,BELOW AVERAGE,BELOW AVERAGE,82,37,66,1,NOT YET ORGANIZED,NEUTRAL,WEAK,NEUTRAL,WEAK,WEAK,WEAK,8.1,93.4,NULL,0.8,72.3,NULL,NULL,NULL,41.801762,-87.711025
400149,2017-18,ACERO - SOTO HS,Charter,HS, , , , ,3124555446,http://vs.aceroschools.org,2017,ABOVE AVERAGE,BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,PARTIALLY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,5.8,92.8,8.2,0.6,70.8,NULL,NULL,NULL, , 
400149,2018-19,ACERO - SOTO HS,Charter,HS,5025 S ST. LOUIS AVE,Chicago,Illinois,60632,3124555446,http://vs.aceroschools.org,2018,AVERAGE,BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NEUTRAL,STRONG,STRONG,WEAK,NEUTRAL,WEAK,NULL,93.3,12,3.7,77,NULL,NULL,NULL,41.801762,-87.711025
400150,2015-16,YCCS - CHATHAM,Charter,HS,9035 S LANGLEY AVE,Chicago,Illinois,60619,7736511500, ,2015,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,WELL ORGANIZED,WEAK,STRONG,STRONG,STRONG,VERY STRONG,WEAK,20.8,88.8,NULL,7.9,NULL,9.1,NULL,NULL,41.730131,-87.60698
400150,2016-17,YCCS - CHATHAM,Charter,HS,9035 S LANGLEY AVE,Chicago,Illinois,60619,7736511500,http://www.chathamacademyhs.org/,2016,NO DATA AVAILABLE,FAR BELOW AVERAGE,NULL,NULL,NULL,NULL,WELL ORGANIZED,NOT ENOUGH DATA,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,8.1,93.4,NULL,32.4,NULL,17.4,NULL,NULL,41.730131,-87.60698
400150,2017-18,YCCS - CHATHAM,Charter,HS, , , , ,7736511500,http://www.chathamacademyhs.org/,2017,NO DATA AVAILABLE,NO DATA AVAILABLE,NULL,NULL,NULL,NULL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,5.8,92.8,59.5,20.5,NULL,19.4,NULL,NULL, , 
400150,2018-19,YCCS - CHATHAM,Charter,HS,9035 S LANGLEY AVE,Chicago,Illinois,60619,7736511500,https://www.chathamacademyhs.org,2018,NO DATA AVAILABLE,FAR BELOW EXPECTATIONS,NULL,NULL,NULL,NULL,ORGANIZED,NEUTRAL,STRONG,STRONG,NEUTRAL,WEAK,WEAK,NULL,93.3,90,37.1,NULL,12.2,NULL,NULL,41.730131,-87.60698
400151,2015-16,LEARN - 7,Charter,ES,3021 W CARROLL AVE,Chicago,Illinois,60612,7735844300, ,2015,AVERAGE,AVERAGE,36,53,30,53,NOT YET ORGANIZED,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,VERY WEAK,NOT ENOUGH DATA,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.88741,-87.701397
400151,2016-17,LEARN - 7,Charter,ES,3021 W CARROLL AVE,Chicago,Illinois,60612,7735844300,http://www.learncharter.org,2016,BELOW AVERAGE,BELOW AVERAGE,14,25,29,33,PARTIALLY ORGANIZED,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,WEAK,NOT ENOUGH DATA,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.88741,-87.701397
400151,2017-18,LEARN - 7,Charter,ES, , , , ,7735844300,http://www.learncharter.org,2017,BELOW AVERAGE,BELOW AVERAGE,18,13,28,30,WELL ORGANIZED,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,VERY STRONG,VERY STRONG,NOT ENOUGH DATA,5.8,92.8,13.2,NULL,NULL,NULL,NULL,NULL, , 
400151,2018-19,LEARN - 7,Charter,ES,3021 W CARROLL AVE,Chicago,Illinois,60612,7735844300,http://www.learncharter.org,2018,BELOW AVERAGE,BELOW AVERAGE,6,27,11,21,MODERATELY ORGANIZED,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NULL,93.3,7.9,NULL,NULL,NULL,NULL,NULL,41.88741,-87.701397
400153,2015-16,UNO - BRIGHTON PARK,Charter,ES,4420 S FAIRFIELD AVE,Chicago,Illinois,60632,3124555434, ,2015,AVERAGE,AVERAGE,69,39,55,46,ORGANIZED,STRONG,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,3.8,95.1,NULL,7.9,NULL,NULL,NULL,NULL,41.813109,-87.693238
400153,2016-17,ACERO - BRIGHTON PARK,Charter,ES,4420 S FAIRFIELD AVE,Chicago,Illinois,60632,3124555434,http://www.ucsnschools.org,2016,ABOVE AVERAGE,AVERAGE,71,55,57,47,MODERATELY ORGANIZED,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,8.1,93.4,NULL,NULL,NULL,NULL,NULL,NULL,41.813109,-87.693238
